ID,Διεύθυνση ηλεκτρονικού ταχυδρομείου,Όνομα,Συνολικοί βαθμοί,Σχόλια για το κουίζ,Ώρα δημοσίευσης βαθμού,"Prior to the COVID-19 crisis, were you able to work from home?","Βαθμοί - Prior to the COVID-19 crisis, were you able to work from home?","Σχόλια - Prior to the COVID-19 crisis, were you able to work from home?",Βαθμοί - Did you receive any security guidelines from your employer regarding working from home?,Σχόλια - Did you receive any security guidelines from your employer regarding working from home?,Βαθμοί - Please describe the main (2-3) security guidelines provided.,Σχόλια - Please describe the main (2-3) security guidelines provided.,Devices,Βαθμοί - What kind of devices are you using to connect to your corporate working environment?,Σχόλια - What kind of devices are you using to connect to your corporate working environment?,Βαθμοί - Are these devices accessed by users other than yourself?,Σχόλια - Are these devices accessed by users other than yourself?,These devices are:,Βαθμοί - These devices are:,Σχόλια - These devices are:,Βαθμοί - Are these devices managed by your organization?,Σχόλια - Are these devices managed by your organization?,Βαθμοί - Which of the following apply for the devices you currently use for your working from home employment?,Σχόλια - Which of the following apply for the devices you currently use for your working from home employment?,Access_Type,Βαθμοί - How do you obtain access to your corporate working environment?,Σχόλια - How do you obtain access to your corporate working environment?,Βαθμοί - Please describe how you obtain access to your corporate working environment.,Σχόλια - Please describe how you obtain access to your corporate working environment.,Βαθμοί - How were you informed how to use them?,Σχόλια - How were you informed how to use them?,Has your company adopted a specific collaboration solution?,Βαθμοί - Has your company adopted a specific collaboration solution?,Σχόλια - Has your company adopted a specific collaboration solution?,What abilities does it offer?,Βαθμοί - What abilities does it offer?,Σχόλια - What abilities does it offer?,"Βαθμοί - Please name any other cyber-security threats you encountered during this period, not listed above.","Σχόλια - Please name any other cyber-security threats you encountered during this period, not listed above.",Βαθμοί - To what extent do you agree with the following statements:,Σχόλια - To what extent do you agree with the following statements:,I prefer working from home than going to the office.,Βαθμοί - I prefer working from home than going to the office.,Σχόλια - I prefer working from home than going to the office.,WFH_Productive,Βαθμοί - I work more productively from home.,Σχόλια - I work more productively from home.,I collaborate with my colleagues as effectively as when we are in office.,Βαθμοί - I collaborate with my colleagues as effectively as when we are in office.,Σχόλια - I collaborate with my colleagues as effectively as when we are in office.,Emp_Satisfaction_Crisis,Βαθμοί - I am satisfied by my employer’s approach to the crisis.,Σχόλια - I am satisfied by my employer’s approach to the crisis.,Tech_Support_Satisfactory,"Βαθμοί - I have all the support i need to face any technical problems i have (eg. corporate access issues,  infrastructure failures, etc.).","Σχόλια - I have all the support i need to face any technical problems i have (eg. corporate access issues,  infrastructure failures, etc.).",Emp_Satisfied_with_Approach,Βαθμοί - I am proud to work for my organization.,Σχόλια - I am proud to work for my organization.,I have access to the things I need to do my job well.,Βαθμοί - I have access to the things I need to do my job well.,Σχόλια - I have access to the things I need to do my job well.,Age_Range,Βαθμοί - What is your age?,Σχόλια - What is your age?,What is the highest degree or level of school you have completed?,Βαθμοί - What is the highest degree or level of school you have completed?,Σχόλια - What is the highest degree or level of school you have completed?,Please select the business domain of the organization you work for.,Βαθμοί - Please select the business domain of the organization you work for.,Σχόλια - Please select the business domain of the organization you work for.,Please specify which is the business domain of the organization you work for.,Βαθμοί - Please specify which is the business domain of the organization you work for.,Σχόλια - Please specify which is the business domain of the organization you work for.,Which of the following best describes your work position?,Βαθμοί - Which of the following best describes your work position?,Σχόλια - Which of the following best describes your work position?,Comments,Βαθμοί - Comments,Σχόλια - Comments
5,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Remote connection to your workstation (e.g. TeamViewer),,,,,,,Yes,,,File sharing;Collaborative file editing;Web conference;Real-time chatting;,,,,,,,Disagree,,,Undecided,,,Disagree,,,Agree,,,Agree,,,Agree,,,Agree,,,25-34 years old,,,Master’s degree,,,Education & Research,,,,,,Researcher,,,,,
6,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,No special provisions,,,,,,,Yes,,,File sharing;Collaborative file editing;Web conference;Real-time chatting;,,,,,,,Disagree,,,Agree,,,Agree,,,Agree,,,Undecided,,,Agree,,,Agree,,,35-44 years old,,,Doctorate degree,,,Education & Research,,,,,,Researcher,,,-,,
7,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Personal assets,,,,,,,No special provisions,,,,,,,No,,,,,,,,,,Agree,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,45-54 years old,,,Doctorate degree,,,Security (cyber),,,,,,Manager,,,,,
8,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,No special provisions,,,,,,,No,,,,,,,,,,Agree,,,Agree,,,Disagree,,,Agree,,,Agree,,,Undecided,,,Strongly agree,,,25-34 years old,,,Doctorate degree,,,Education & Research,,,,,,Researcher,,,,,
9,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,VPN access,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,Agree,,,Strongly agree,,,35-44 years old,,,Doctorate degree,,,Education & Research,,,,,,IT professional,,,,,
10,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,No special provisions,,,,,,,No,,,,,,,,,,Disagree,,,Strongly disagree,,,Undecided,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,18-24 years old,,,"High school graduate, diploma or the equivalent",,,EPES (Electrical Power & Energy Systems),,,,,,Other,,,,,
11,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Direct access,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;Other;,,,,,,,Agree,,,Undecided,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Master’s degree,,,Education & Research,,,,,,Security professional,,,,,
12,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Direct access,,,,,,,Yes,,,Project/Workflow/Task management;Teleconferencing;,,,,,,,Disagree,,,Disagree,,,Disagree,,,Agree,,,Agree,,,Agree,,,Agree,,,45-54 years old,,,Doctorate degree,,,Education & Research,,,,,,Manager,,,,,
13,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Direct access,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Undecided,,,Disagree,,,Agree,,,Agree,,,Agree,,,Strongly agree,,,35-44 years old,,,Doctorate degree,,,Education & Research,,,,,,Manager,,,,,
14,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Direct access,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Strongly agree,,,Strongly agree,,,Agree,,,Agree,,,Undecided,,,Agree,,,Strongly agree,,,18-24 years old,,,Bachelor’s degree,,,IT (Information Technology),,,,,,IT professional,,,,,
